job_name,mean_salary,max_salary,min_salary,first_grad,second_grad,third_grad,fourth_grad,fiveth_grad,first_department,second_department,third_department,fourth_department,fiveth_department,first_school,second_school,third_school,fourth_school,fiveth_school,first_skill,second_skill,third_skill,fourth_skill,fiveth_skill,number_of_entries ,job_adv.,total_participants,male,female
Ambulans Hekimi, 9.750, 8.000, 15.000,Tıp, İlk ve Acil (Paramedik), Acil Yardım ve Afet Yönetimi, Matematik Öğretmenliği, Acil Yardım Teknikerliği (MYO), Sağlık, Sigortacılık, Hizmet, Çevre, Arşiv Yönetimi ve Saklama, İstanbul Üniversitesi (İÜ), Cumhuriyet Üniversitesi, Ege Üniversitesi, Marmara Üniversitesi, Namık Kemal Üniversitesi, İş Zekası,Radyo ve TV teknolojileri,-, -, -, 4,2.0,88, 75.7, 24.3
Ambulans Şoförü, 2.480, 2.020, 3.140,İşletme, Elektrik (MYO), Otomotiv (MYO), Kamu Yönetimi, İlk ve Acil (Paramedik), Sağlık, Hizmet, Taşımacılık, Sigortacılık, Bilişim, Anadolu Üniversitesi, Atatürk Üniversitesi, Kocaeli Üniversitesi, Ege Üniversitesi, İnönü Üniversitesi, Src 2,Src 4,-, -, -, 25,2.0,2.578, 84.6, 15.3
Ameliyathane Hemşiresi, 3.200, 2.250, 4.140,Ameliyathane Teknikerliği (MYO), Hemşirelik ve Sağlık Hizmetleri, Hemşirelik (MYO), Hemşirelik, Ebelik , Sağlık, Hizmet, Sigortacılık, Eğitim, Tekstil, Anadolu Üniversitesi, İstanbul Bilim Üniversitesi, Nişantaşı Üniversitesi, İstanbul Yeni Yüzyıl Üniversitesi, İstanbul Medipol Üniversitesi , İşçi Sağlığı ve İş Güvenliği,Sterilizasyon,-, -, -, 203,368.0,6.130, 29.7, 70.4
Ameliyathane Personeli, 2.550, 2.020, 3.110,Ameliyathane Teknikerliği (MYO), Biyomedikal Cihaz Teknolojisi (MYO), Biyoloji, Büro Yönetimi ve Yönetici Asistanlığı (MYO), Tıbbi Dokümantasyon ve Sekreterlik (MYO), Sağlık, Hizmet, Sigortacılık, Gıda, Taşımacılık, Anadolu Üniversitesi, Atatürk Üniversitesi, Üsküdar Üniversitesi , Nişantaşı Üniversitesi Meslek Yüksekokulu, Kocaeli Üniversitesi, Sterilizasyon,-, -, -, -, 29,6.0,1.042, 67.1, 33
Analist, 4.870, 2.020, 7.860,Kimya, Endüstri Mühendisliği, Bilgisayar Mühendisliği, İşletme, İstatistik, Finans - Ekonomi, Sağlık, Bilişim, Danışmanlık, Gıda, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, İstanbul Teknik Üniversitesi (İTÜ), Kocaeli Üniversitesi, Boğaziçi Üniversitesi, Analiz Yöntemleri,C#,GCMS / HPLC,İş ve süreç analizi,Java,280,238.0,3.823, 46.8, 53.2
Analitik Crm Uzmanı, 6.000, 5.000, 7.410,Endüstri Mühendisliği, İstatistik, İşletme, Matematik, Bilgisayar Teknolojisi ve Programlama (MYO), Finans - Ekonomi, Telekomünikasyon, Bilişim, Sigortacılık, Perakende, İstanbul Teknik Üniversitesi (İTÜ), Yıldız Teknik Üniversitesi (YTÜ), Marmara Üniversitesi, Boğaziçi Üniversitesi, İstanbul Üniversitesi (İÜ), Big Data,CRM,Dijital Pazarlama,İstatistiksel analiz,MS Access,5,19.0,113, 49.6, 50.4
Analitik CRM Yöneticisi, -, -, -, Endüstri Mühendisliği, İstatistik, İktisat, İşletme, Elektrik/Elektronik Mühendisliği, Finans - Ekonomi, Perakende, Yapı, Danışmanlık, Telekomünikasyon, Yıldız Teknik Üniversitesi (YTÜ), Dokuz Eylül Üniversitesi, İstanbul Üniversitesi (İÜ), Erciyes Üniversitesi, Boğaziçi Üniversitesi, ASP.NET,C,C#,CRM,Dijital Pazarlama,-,37.205,54, 38.9, 61.1
Analitik Metod Geliştirme Uzmanı, -, -, -, Kimya, Kimya Mühendisliği, Endüstri Mühendisliği, Kimya (MYO), İşletme, Sağlık, Otomotiv, Kimya, Eğitim, Maden ve Metal Sanayi, İstanbul Üniversitesi (İÜ), İstanbul Teknik Üniversitesi (İTÜ), Balıkesir Üniversitesi, Eskişehir Osmangazi Üniversitesi, Ege Üniversitesi, 5S,Analiz Yöntemleri,Analytical Chemistry,Chromatography,GCMS / HPLC,-,2.0,103, 28.1, 71.8
Analitik Metod Validasyon Uzmanı, 6.220, 6.000, 6.520,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3,0.0,-, -, -
Analiz Teknikeri, 3.460, 2.500, 4.460,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 12,37.205,-, -, -
Analiz Uzmanı, 3.590, 2.020, 5.660,Kimya, İşletme, İstatistik, Endüstri Mühendisliği, Bilgisayar Teknolojisi ve Programlama (MYO), Bilişim, Sağlık, Hizmet, Finans - Ekonomi, Gıda, Anadolu Üniversitesi, Kocaeli Üniversitesi, İstanbul Üniversitesi (İÜ), Dokuz Eylül Üniversitesi, Gazi Üniversitesi, Adobe Photoshop,Analiz Yöntemleri,AutoCAD,C#,GCMS / HPLC,10,12.0,335, 48.4, 51.6
Analiz ve Raporlama Uzmanı, 3.810, 2.400, 5.850,İstatistik, İşletme, Endüstri Mühendisliği, Bilgisayar Teknolojisi ve Programlama (MYO), İktisat, Finans - Ekonomi, Hizmet, Telekomünikasyon, Sigortacılık, Enerji, Anadolu Üniversitesi, Marmara Üniversitesi, İstanbul Üniversitesi (İÜ), Sakarya Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Bütçe planlama ve raporlama,Finansal Analiz,Finansal Raporlama,İstatistiksel analiz,İş ve süreç analizi,43,51.0,1.152, 47.9, 52
Anaokulu Müdürü, 4.510, 2.750, 6.270,Okul Öncesi Öğretmenlik, Çocuk Gelişimi (MYO), Çocuk Gelişimi ve Eğitimi, Çocuk Gelişimi ve Eğitimi Öğretmenliği, Psikoloji, Eğitim, Hizmet, Danışmanlık, Bilişim, Tekstil, Anadolu Üniversitesi, Gazi Üniversitesi, Marmara Üniversitesi, Hacettepe Üniversitesi, Selçuk Üniversitesi, Resim,Müzik,Tiyatro,Tasarım,Bilgisayar,14,90.0,563, 8.9, 91.1
Anaokulu Öğretmeni, 2.590, 2.020, 3.280,Çocuk Gelişimi (MYO), Okul Öncesi Öğretmenlik, Çocuk Gelişimi ve Eğitimi, Sosyal Hizmetler, Çocuk Gelişimi ve Eğitimi Öğretmenliği, Eğitim, Danışmanlık, Hizmet, Sağlık, Tekstil, Anadolu Üniversitesi, Atatürk Üniversitesi, İstanbul Aydın Üniversitesi, İstanbul Arel Üniversitesi, İstanbul Üniversitesi (İÜ), Çocuk Gelişimi,-, -, -, -, 361,279.0,28.783, 7.4, 92.6
Anatomi Öğretmeni, -, -, -, Hemşirelik, Hemşirelik (MYO), Hemşirelik ve Sağlık Hizmetleri, Ebelik , Biyoloji, Eğitim, Sağlık, Hizmet, Bilişim, Ticaret, İstanbul Üniversitesi (İÜ), Ege Üniversitesi, Atatürk Üniversitesi, Gazi Üniversitesi, Gaziosmanpaşa Üniversitesi, İş Zekası,İşçi Sağlığı ve İş Güvenliği,-, -, -, -,0.0,260, 18.7, 81.3
Android Geliştirici, 5.390, 2.260, 8.520,Bilgisayar Mühendisliği, Yazılım Mühendisliği, Bilgisayar ve Öğretim Teknolojileri Öğr., Bilgisayar Programcılığı, Elektrik/Elektronik Mühendisliği, Bilişim, Elektrik & Elektronik, Telekomünikasyon, Reklam ve Tanıtım, Ticaret, Sakarya Üniversitesi, Fırat Üniversitesi, İstanbul Üniversitesi (İÜ), Yıldız Teknik Üniversitesi (YTÜ), Bilecik Şeyh Edebali Üniversitesi, Android,Android Programlama,Android Studio,Android Uygulama Geliştirme,C#,82,131.0,51, 87.3, 12.8
Anestezi Doktoru, 14.860, 10.000, 19.910,Tıp, Anestezi (MYO),  Cerrahi Tıp Bilimleri, Hastane Yönetimi ve Organizasyon (MYO), Sağlık, -, -, -, -, -, İstanbul Üniversitesi (İÜ), Ankara Üniversitesi, Hacettepe Üniversitesi, Trakya Üniversitesi, Ondokuz Mayıs Üniversitesi, Adobe Flash,İşçi Sağlığı ve İş Güvenliği,-, -, -, 20,20.0,260, 52.2, 47.8
Anestezi Hemşiresi, 2.650, 2.500, 2.850,Anestezi Teknikerliği (MYO), Hemşirelik ve Sağlık Hizmetleri, Anestezi (MYO), Hemşirelik (MYO), Hemşirelik, Sağlık, Hizmet, Sigortacılık, Çevre, Bilişim, Anadolu Üniversitesi, Atatürk Üniversitesi, İstanbul Aydın Üniversitesi, Trakya Üniversitesi, Marmara Üniversitesi, Entübasyon,İşçi Sağlığı ve İş Güvenliği,-, -, -, 3,0.0,226, 27.5, 72.5
Anestezi Teknikeri, 2.700, 2.070, 3.320,Anestezi Teknikerliği (MYO), Anestezi (MYO), Kimya, Biyoloji, Kamu Yönetimi, Sağlık, Hizmet, Sigortacılık, Tekstil, Eğitim, İstanbul Bilim Üniversitesi, Marmara Üniversitesi, İstanbul Aydın Üniversitesi, İstanbul Arel Üniversitesi, Trakya Üniversitesi, İşçi Sağlığı ve İş Güvenliği,-, -, -, -, 212,52.0,6.904, 33.5, 66.5
Anestezi Teknisyeni, 2.680, 2.110, 3.250,Anestezi Teknikerliği (MYO), Anestezi (MYO), Sağlık Kurumları İşletmeciliği, Hemşirelik ve Sağlık Hizmetleri, Hemşirelik (MYO), Sağlık, Hizmet, Sigortacılık, Eğitim, Gıda, Anadolu Üniversitesi, İstanbul Medipol Üniversitesi , Marmara Üniversitesi, Üsküdar Üniversitesi , Dokuz Eylül Üniversitesi, İşçi Sağlığı ve İş Güvenliği,-, -, -, -, 42,20.0,2.864, 36.1, 63.9
Anestezi Uzmanı, -, -, -, Tıp, Anestezi (MYO), İşletme, Hayvan Yetiştiriciliği ve Sağlığı (MYO),  Cerrahi Tıp Bilimleri, -, -, -, -, -, İstanbul Üniversitesi (İÜ), Ankara Üniversitesi, Hacettepe Üniversitesi, Uludağ Üniversitesi, Trakya Üniversitesi, Müzik,Microsoft Office Word,9 Yıldır Fotoğrafçılıkla İlgileniyorum,- Takım Halinde Uyumlu Çalışabilme ( Koro, Spor Takımları, Bilimsel Çalışma Grupları ),20.0,110, 46.1, 53.9
Animasyon Sanatçısı, -, -, -, Turizm ve Seyahat İşletmeciliği (MYO), Çizgi Film (Animasyon), Turizm ve Otel İşletmeciliği (MYO), Turizm Animasyon, İngiliz Dili ve Edebiyatı, Turizm, Reklam ve Tanıtım, Eğlence - Kültür - Sanat, Hizmet, Medya, Anadolu Üniversitesi, Akdeniz Üniversitesi, Mersin Üniversitesi, Muğla Üniversitesi, Dokuz Eylül Üniversitesi, 3D Max,Adobe After Effects,Adobe Flash,Adobe Illustrator,Adobe Photoshop,-,0.0,460, 53.3, 46.8
Animatör, 2.820, 2.020, 3.640,Turizm Animasyon, Turizm ve Otel İşletmeciliği (MYO), Turizm İşletmeciliği, İşletme, Beden Eğitimi ve Spor Öğretmenliği, Turizm, Reklam ve Tanıtım, Eğlence - Kültür - Sanat, Hizmet, Eğitim, Anadolu Üniversitesi, Akdeniz Üniversitesi, Muğla Üniversitesi, Ege Üniversitesi, Mersin Üniversitesi, Adobe After Effects,Adobe Photoshop,-, -, -, 26,6.0,3.088, 54.1, 45.8
Anjiyo Hemşiresi, 3.280, 2.040, 4.600,Hemşirelik ve Sağlık Hizmetleri, Hemşirelik (MYO), Hemşirelik, Sağlık Kurumları İşletmeciliği, İlk ve Acil (Paramedik), Sağlık, Hizmet, Sigortacılık, Kimya, Eğitim, Anadolu Üniversitesi, Marmara Üniversitesi, Uludağ Üniversitesi, İstanbul Üniversitesi (İÜ), İstanbul Aydın Üniversitesi, Cpr,İşçi Sağlığı ve İş Güvenliği,-, -, -, 17,1.0,455, 47.3, 52.7
Anjiyo Teknisyeni, 3.260, 2.440, 4.080,Tıbbi Görüntüleme Teknikleri, Radyoloji (MYO), Biyoloji, Biyomedikal Cihaz Teknolojisi (MYO), Tıbbi Laboratuvar (MYO), Sağlık, Hizmet, Sigortacılık, Basım - Yayın, Atık Yönetimi ve Geri Dönüşüm, Anadolu Üniversitesi, Selçuk Üniversitesi, Ankara Üniversitesi, Erciyes Üniversitesi, İnönü Üniversitesi, İş Zekası,Kalite Yönetim Sistemleri,PARAMEDİK,-, -, 18,2.0,212, 80.1, 20
Antrenör, 3.140, 2.020, 4.570,Beden Eğitimi ve Spor Öğretmenliği, Antrenörlük Eğitimi, Spor Yöneticiliği, Rekreasyon Yönetimi, İşletme, Eğitim, Turizm, Hizmet, Sağlık, Eğlence - Kültür - Sanat, Anadolu Üniversitesi, Kocaeli Üniversitesi, Gazi Üniversitesi, Ege Üniversitesi, Marmara Üniversitesi, Spor,Yüzme,Futbol,Basketbol,Voleybol,82,3.0,9.275, 60.9, 39.1
Antrepo Müdürü, 5.500, 2.500, 10.420,İşletme, Endüstri Mühendisliği, İktisat, Kamu Yönetimi, Lojistik (MYO), Taşımacılık, Üretim / Endüstriyel Ürünler, Kimya, Tekstil, Gıda, Anadolu Üniversitesi, İstanbul Teknik Üniversitesi (İTÜ), İstanbul Üniversitesi (İÜ), Hacettepe Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Depo Operasyon,Depo Ve Lojistik Yönetimi,Depo Ve Stok Yönetimi,Genel Muhasebe,Gümrük mevzuatı,3,0.0,113, 93, 7.1
Araç Muayene Teknisyeni, 2.840, 2.020, 3.770,Otomotiv (MYO), Makine (MYO), Makine, Otomotiv Öğretmenliği, Otomotiv Teknolojisi, Otomotiv, Hizmet, Elektrik & Elektronik, Bilişim, Taşımacılık, Kocaeli Üniversitesi, Selçuk Üniversitesi, Anadolu Üniversitesi, Gazi Üniversitesi, Abant İzzet Baysal Üniversitesi, AutoCAD,Elektrik Kumanda Panoları,Elektrik/Elektronik,SOLIDWORKS,-, 54,16.0,1.026, 96.3, 3.8
Araç Muayene Uzmanı, 3.140, 2.500, 4.280,Otomotiv (MYO), Otomotiv Öğretmenliği, Makine (MYO), Makine, Mekatronik (MYO), Otomotiv, Hizmet, Elektrik & Elektronik, Bilişim, Yapı, Kocaeli Üniversitesi, Namık Kemal Üniversitesi, Abant İzzet Baysal Üniversitesi, İstanbul Üniversitesi (İÜ), Gazi Üniversitesi, AutoCAD,SOLIDWORKS,-, -, -, 7,6.0,395, 95.2, 4.8
Arama Motoru Optimizasyonu (SEO) Analisti, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,0.0,-, -, -
Arama Motoru Optimizasyonu (SEO) Danışmanı, 5.040, 2.120, 10.370,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3,1.0,-, -, -
Arama Motoru Optimizasyonu (SEO) Uzmanı, 4.320, 2.020, 6.640,Bilgisayar Teknolojisi ve Programlama (MYO), İşletme, Bilgisayar Programcılığı, MIS - Yönetim Bilişim Sistemleri, Bilgisayar Mühendisliği, Bilişim, Reklam ve Tanıtım, Medya, Ticaret, Basım - Yayın, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Selçuk Üniversitesi, Sakarya Üniversitesi, Marmara Üniversitesi, Adobe After Effects,Adobe Illustrator,Adobe Photoshop,CSS,CSS3,32,22.0,498, 79.5, 20.5
Arama Motoru Pazarlama (SEM) Uzmanı, -, -, -, İşletme, Uluslararası İlişkiler, İşletme (İngilizce), Dış Ticaret (MYO), İstatistik, Reklam ve Tanıtım, Medya, Bilişim, Turizm, Danışmanlık, Marmara Üniversitesi, Anadolu Üniversitesi, Boğaziçi Üniversitesi, İstanbul Bilgi Üniversitesi, İstanbul Ticaret Üniversitesi, Advertising,Dijital Pazarlama,ETA,Google Adwords,Google Adwords Kampanya Yönetimi,-,0.0,70, 56.4, 43.6
Aranjör, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1.0,-, -, -
Arapça Öğretmeni, 3.700, 2.500, 5.120,İlahiyat, Arap Dili ve Edebiyatı, Arapça Öğretmenliği, İlahiyat (MYO), Arapça Mütercim Tercümanlık , Eğitim, Hizmet, Turizm, Danışmanlık, Topluluklar, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Atatürk Üniversitesi, Selçuk Üniversitesi, Ankara Üniversitesi, Adobe Photoshop,-, -, -, -, 11,1.0,1.303, 39.3, 60.7
Arapça Tercüman, 3.290, 2.280, 4.300,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 72,37.205,-, -, -
Araştırma Geliştirme / Arge Müdürü, 9.610, 4.730, 14.490,Makine Mühendisliği, Kimya Mühendisliği, Kimya, Gıda Mühendisliği, Elektrik/Elektronik Mühendisliği, Kimya, Üretim / Endüstriyel Ürünler, Otomotiv, Elektrik & Elektronik, Tekstil, Orta Doğu Teknik Üniversitesi (ODTÜ), İstanbul Teknik Üniversitesi (İTÜ), Ege Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Uludağ Üniversitesi, 3D Tasarım ve Modelleme Uygulaması,AutoCAD,C#,C++,CAD/CAM,136,37.205,1.180, 74.5, 25.5
Araştırma Geliştirme / Arge Mühendisi, 4.330, 2.180, 6.490,Makine Mühendisliği, Elektrik/Elektronik Mühendisliği, Kimya Mühendisliği, Metalurji ve Malzeme Mühendisliği, Mekatronik Mühendisliği, Otomotiv, Üretim / Endüstriyel Ürünler, Elektrik & Elektronik, Bilişim, Kimya, İstanbul Teknik Üniversitesi (İTÜ), Yıldız Teknik Üniversitesi (YTÜ), Orta Doğu Teknik Üniversitesi (ODTÜ), Kocaeli Üniversitesi, Ege Üniversitesi, Altium Desinger,Ansys,Ansys Workbench,AutoCAD,Autodesk Inventor,799,274.0,5.730, 73.5, 26.5
Araştırma Geliştirme / Arge Proje Mühendisi, 4.850, 2.150, 7.560,Makine Mühendisliği, Elektrik/Elektronik Mühendisliği, Kimya Mühendisliği, Metalurji ve Malzeme Mühendisliği, Mekatronik Mühendisliği, Otomotiv, Üretim / Endüstriyel Ürünler, Elektrik & Elektronik, Bilişim, Hizmet, Yıldız Teknik Üniversitesi (YTÜ), İstanbul Teknik Üniversitesi (İTÜ), Orta Doğu Teknik Üniversitesi (ODTÜ), Kocaeli Üniversitesi, Dokuz Eylül Üniversitesi, Ansys,Ansys Workbench,AutoCAD,Autodesk Inventor,C,68,37.205,1.230, 76.3, 23.8
Araştırma Geliştirme / Arge Proje Yöneticisi, 7.380, 3.300, 11.740,Makine Mühendisliği, Kimya, Elektrik/Elektronik Mühendisliği, Kimya Mühendisliği, Bilgisayar Mühendisliği, Bilişim, Üretim / Endüstriyel Ürünler, Otomotiv, Elektrik & Elektronik, Kimya, İstanbul Teknik Üniversitesi (İTÜ), Orta Doğu Teknik Üniversitesi (ODTÜ), Yıldız Teknik Üniversitesi (YTÜ), Gazi Üniversitesi, Ege Üniversitesi, 3D Tasarım ve Modelleme Uygulaması,AutoCAD,Baskı Devre Tasarımı,Bütçe planlama ve raporlama,C++,32,37.205,840, 68, 32
Araştırma Geliştirme / Arge Sorumlusu, 4.700, 2.500, 7.320,Kimya, Kimya Mühendisliği, Makine Mühendisliği, İşletme, Elektrik/Elektronik Mühendisliği, Kimya, Otomotiv, Üretim / Endüstriyel Ürünler, Tekstil, Sağlık, Ege Üniversitesi, Anadolu Üniversitesi, Uludağ Üniversitesi, Gazi Üniversitesi, Kocaeli Üniversitesi, AutoCAD,CAD/CAM,CATIA,CNC,ISO 16949,39,23.0,822, 57.1, 42.9
Araştırma Geliştirme / Arge Uzmanı, 5.010, 2.580, 7.430,Kimya, Makine Mühendisliği, Kimya Mühendisliği, Gıda Mühendisliği, Elektrik/Elektronik Mühendisliği, Sağlık, Kimya, Otomotiv, Gıda, Bilişim, İstanbul Teknik Üniversitesi (İTÜ), Ege Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Orta Doğu Teknik Üniversitesi (ODTÜ), Hacettepe Üniversitesi, Altium Desinger,AutoCAD,C++,CAD/CAM,CATIA,80,317.0,1.694, 58.3, 41.6
Araştırmacı, 5.980, 2.550, 9.410,Kimya, Elektrik/Elektronik Mühendisliği, Makine Mühendisliği, Bilgisayar Mühendisliği, Biyoloji, Eğitim, Hizmet, Sağlık, Bilişim, Üretim / Endüstriyel Ürünler, Orta Doğu Teknik Üniversitesi (ODTÜ), İstanbul Teknik Üniversitesi (İTÜ), Hacettepe Üniversitesi, Yıldız Teknik Üniversitesi (YTÜ), Ege Üniversitesi, AutoCAD,C,C Programming Language,C++,Java,31,3.0,2.845, 50.7, 49.4
Arayüz Yazılım Uzmanı, 5.790, 2.830, 8.750,Bilgisayar Mühendisliği, Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Programcılığı, İşletme, Yazılım Mühendisliği, Bilişim, Ticaret, Reklam ve Tanıtım, Turizm, Finans - Ekonomi, Anadolu Üniversitesi, Kocaeli Üniversitesi, Sakarya Üniversitesi, İstanbul Üniversitesi (İÜ), Yıldız Teknik Üniversitesi (YTÜ), Adobe Illustrator,Adobe Photoshop,Bootstrap 4,C#,CSS,31,874.0,630, 82.2, 17.8
AR-GE Mühendisi, 4.260, 2.080, 6.450,Makine Mühendisliği, Elektrik/Elektronik Mühendisliği, Kimya Mühendisliği, Kimya, Mekatronik Mühendisliği, Üretim / Endüstriyel Ürünler, Otomotiv, Elektrik & Elektronik, Kimya, Bilişim, Yıldız Teknik Üniversitesi (YTÜ), Kocaeli Üniversitesi, İstanbul Teknik Üniversitesi (İTÜ), Ege Üniversitesi, Orta Doğu Teknik Üniversitesi (ODTÜ), 3D Tasarım ve Modelleme Uygulaması,Ansys,Ansys Fluent,Ansys Workbench,AutoCAD,171,37.205,2.044, 72.2, 27.7
AR-GE ve Kalite Uzmanı, 3.820, 2.380, 5.340,Kimya, Kimya Mühendisliği, Gıda Mühendisliği, İşletme, Gıda Teknolojisi (MYO), Kimya, Gıda, Üretim / Endüstriyel Ürünler, Sağlık, Maden ve Metal Sanayi, Anadolu Üniversitesi, Ege Üniversitesi, Kocaeli Üniversitesi, Dokuz Eylül Üniversitesi, Afyon Kocatepe Üniversitesi, AutoCAD,GCMS / HPLC,ISO 14001,ISO 18001,ISO 9001,21,37.205,540, 54.9, 45.1
Arkeolog, 3.260, 2.020, 5.440,Arkeoloji, Arkeoloji ve Sanat Tarihi, Sanat Tarihi, Tarih, Kamu Yönetimi, Eğitim, Yapı, Hizmet, Eğlence - Kültür - Sanat, Turizm, İstanbul Üniversitesi (İÜ), Ege Üniversitesi, Pamukkale Üniversitesi, Selçuk Üniversitesi, Ankara Üniversitesi, Adobe Illustrator,Adobe Photoshop,AutoCAD,CorelDraw,Photoshop,4,0.0,1.238, 43.5, 56.5
Armador, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,0.0,-, -, -
Armatör, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,0.0,-, -, -
Arşiv Memuru, 2.910, 2.020, 3.860,Bilgi ve Belge Yönetimi, İşletme, Kamu Yönetimi, İktisat, Maliye, Arşiv Yönetimi ve Saklama, Finans - Ekonomi, Sağlık, Eğitim, Hizmet, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Sakarya Üniversitesi, Hacettepe Üniversitesi, Adobe Photoshop,Dosyalama Ve Arşivleme,Halkla İlişkiler,Mali tablolar analizi,Maliyet Muhasebesi,22,0.0,719, 51.5, 48.5
Arşiv Sorumlusu, 2.680, 2.020, 3.350,Bilgi ve Belge Yönetimi, İşletme, Tıbbi Dokümantasyon ve Sekreterlik (MYO), Kamu Yönetimi, Dış Ticaret (MYO), Arşiv Yönetimi ve Saklama, Sağlık, Hizmet, Yapı, Finans - Ekonomi, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Marmara Üniversitesi, Kocaeli Üniversitesi, Dumlupınar Üniversitesi, Adobe Photoshop,-, -, -, -, 40,0.0,1.162, 56.5, 43.5
Arşiv Uzmanı, 3.920, 2.100, 6.320,Bilgi ve Belge Yönetimi, Tarih, İşletme, Kamu Yönetimi, İktisat, Arşiv Yönetimi ve Saklama, Bilişim, Medya, Hizmet, Yapı, İstanbul Üniversitesi (İÜ), Anadolu Üniversitesi, Marmara Üniversitesi, Hacettepe Üniversitesi, Ankara Üniversitesi, Adobe Photoshop,AutoCAD,Dosyalama Ve Arşivleme,MS SQL Server,-, 19,1.0,362, 50, 50
Arşiv Yöneticisi, 4.640, 3.770, 7.010,Bilgi ve Belge Yönetimi, İşletme, İktisat, Kamu Yönetimi, Yerel Yönetimler (MYO), Arşiv Yönetimi ve Saklama, Yapı, Enerji, Finans - Ekonomi, Medya, İstanbul Üniversitesi (İÜ), Anadolu Üniversitesi, Marmara Üniversitesi, Hacettepe Üniversitesi, Adıyaman Üniversitesi, Bilgisayar Destekli Tasarım Araçları,Depo Operasyon,-, -, -, 4,0.0,141, 52.6, 47.4
Asansör Ustası, 4.630, 3.500, 6.550,Elektrik (MYO), Tarım Alet ve Makineleri (MYO), Kamu Yönetimi, Mekatronik (MYO), Makine (MYO), Yapı, Eğitim, Maden ve Metal Sanayi, Atık Yönetimi ve Geri Dönüşüm, Üretim / Endüstriyel Ürünler, Anadolu Üniversitesi, Akdeniz Üniversitesi, Gazi Üniversitesi, Karabük Üniversitesi, Tehran Üniversitesi, AutoCAD,Bakım Onarım,Elektrik Kumanda Panoları,Elektrik/Elektronik,Elektronik Kart Tamiri,7,37.205,103, 82, 18
Asfalt Plent Operatörü, 4.370, 2.750, 6.340,Elektrik (MYO), Endüstriyel Elektronik (MYO), İşletme, İnşaat (MYO), Kamu Yönetimi, Yapı, Üretim / Endüstriyel Ürünler, Taşımacılık, Çevre, Elektrik & Elektronik, Anadolu Üniversitesi, Kahramanmaraş Sütçü İmam Üniversitesi, Trakya Üniversitesi, Ömer Halisdemir  Üniversitesi, Atatürk Üniversitesi, Beton santralleri,Cnc Freze,Metal,Otomasyon Sistemleri,-, 8,0.0,213, 86.5, 13.6
Asistan, -, -, -, İşletme, Büro Yönetimi ve Yönetici Asistanlığı (MYO), İktisat, Kamu Yönetimi, Dış Ticaret (MYO), Hizmet, Sağlık, Danışmanlık, Eğitim, Yapı, Anadolu Üniversitesi, İstanbul Üniversitesi (İÜ), Atatürk Üniversitesi, Kocaeli Üniversitesi, Marmara Üniversitesi, Microsoft Office,Ticaret,Bilgisayar,Personel Maliyet,Microsoft Office Word,-,26.0,37.920, 21.9, 78.2
Asp.net Yazılım Mühendisi, 4.810, 2.500, 7.760,Bilgisayar Mühendisliği, Yazılım Mühendisliği, Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Programcılığı, Elektrik/Elektronik Mühendisliği, Bilişim, Finans - Ekonomi, Üretim / Endüstriyel Ürünler, Hizmet, Telekomünikasyon, Sakarya Üniversitesi, Kocaeli Üniversitesi, Fırat Üniversitesi, İstanbul Teknik Üniversitesi (İTÜ), İstanbul Üniversitesi (İÜ), Android Uygulama Geliştirme,ASP.NET,Asp.Net Mvc,ASP.NET Web Api,C,42,605.0,283, 77.1, 22.8
Asteğmen, 5.350, 3.920, 6.780,Makine Mühendisliği, İşletme, Elektrik/Elektronik Mühendisliği, İktisat, İnşaat Mühendisliği, Güvenlik, Hizmet, Üretim / Endüstriyel Ürünler, Yapı, Bilişim, Kocaeli Üniversitesi, Karabük Üniversitesi, İstanbul Üniversitesi (İÜ), Ondokuz Mayıs Üniversitesi, Sakarya Üniversitesi, Depo Ve Lojistik Yönetimi,Finansal Analiz,Finansal tablo analizi,Fizibilite,GCMS / HPLC,7,37.205,409, 98.8, 1.1
